Player,Team,Player Pts,Worth
Forshaw,Middlesbrough,51,£4.5
Oriol Romeu,Southampton,42,£4.5
Isgrove,Southampton,0,£4.5
Hesketh,Southampton,0,£4.5
Verlinden,Stoke,0,£4.5
Honeyman,Sunderland,0,£4.5
Ethan Robson,Sunderland,0,£4.5
Embleton,Sunderland,0,£4.5
James,Swansea,0,£4.5
Winks,Spurs,20,£4.5
Stewart,Watford,0,£4.5
Behrami,Watford,29,£4.5
Harper,West Brom,0,£4.5
Browne,West Ham,0,£4.5
Quina,West Ham,0,£4.5
Rice,West Ham,0,£4.5
Dreher,Crystal Palace,0,£4.4
Ledley,Crystal Palace,35,£4.4
Meyler,Hull,26,£4.4
Mendy,Leicester,3,£4.4
Ejaria,Liverpool,2,£4.4
Lucas,Liverpool,12,£4.4
de Roon,Middlesbrough,44,£4.4
Olomola,Southampton,0,£4.4
Ireland,Stoke,0,£4.4
Asoro,Sunderland,1,£4.4
Britton,Swansea,20,£4.4
Fulton,Swansea,16,£4.4
Fletcher,West Brom,52,£4.4
Yacob,West Brom,34,£4.4
Field,West Brom,4,£4.4
Obiang,West Ham,28,£4.4
Cullen,West Ham,0,£4.4
Coquelin,Arsenal,34,£4.3
O'Neill,Burnley,3,£4.3
Flamini,Crystal Palace,8,£4.3
Lee Chung-yong,Crystal Palace,21,£4.3
Davies,Everton,10,£4.3
Gibson,Everton,0,£4.3
Besic,Everton,0,£4.3
Oviedo,Everton,9,£4.3
Olley,Hull,0,£4.3
Weir,Hull,0,£4.3
Maloney,Hull,15,£4.3
Alexander-Arnold,Liverpool,1,£4.3
Woodburn,Liverpool,1,£4.3
Grujic,Liverpool,2,£4.3
Carrick,Man Utd,20,£4.3
Clayton,Middlesbrough,36,£4.3
Reed,Southampton,2,£4.3
Højbjerg,Southampton,25,£4.3
McQueen,Southampton,18,£4.3
Whelan,Stoke,30,£4.3
Kirchhoff,Sunderland,12,£4.3
Rodwell,Sunderland,18,£4.3
Onomah,Spurs,4,£4.3
Guédioura,Watford,21,£4.3
Cook,Bournemouth,2,£4.2
Kightly,Burnley,6,£4.2
Mutch,Crystal Palace,4,£4.2
Brannagan,Liverpool,0,£4.2
De Pena,Middlesbrough,0,£4.2
Sims,Southampton,8,£4.2
Gooch,Sunderland,10,£4.2
Cattermole,Sunderland,3,£4.2
Carroll,Spurs,1,£4.2
Watson,Watford,1,£4.2
Leko,West Brom,9,£4.2
Agüero,Man City,83,£12.8
Ibrahimovic,Man Utd,123,£11.6
Kane,Spurs,88,£10.9
Costa,Chelsea,123,£10.7
Sturridge,Liverpool,36,£9.7
Vardy,Leicester,60,£9.6
Lukaku,Everton,110,£9.5
Jesus,Man City,0,£9.0
Giroud,Arsenal,63,£8.6
Rooney,Man Utd,40,£8.6
Batshuayi,Chelsea,20,£8.5
Slimani,Leicester,58,£8.3
Pérez,Arsenal,13,£7.8
Defoe,Sunderland,113,£7.8
Christian Benteke,Crystal Palace,68,£7.5
Janssen,Spurs,34,£7.5
Welbeck,Arsenal,0,£7.3
Bony,Stoke,29,£7.0
Musa,Leicester,31,£6.9
Ighalo,Watford,38,£6.9
Rondón,West Brom,82,£6.8
Origi,Liverpool,51,£6.7
Bastón,Swansea,25,£6.7
Deeney,Watford,66,£6.7
Calleri,West Ham,6,£6.6
Rashford,Man Utd,37,£6.4
Negredo,Middlesbrough,76,£6.4
Austin,Southampton,59,£6.4
Remy,Crystal Palace,0,£6.3
Callum Wilson,Bournemouth,59,£6.2
Gray,Burnley,55,£6.2
Iheanacho,Man City,46,£6.2
Llorente,Swansea,64,£6.2
Carroll,West Ham,23,£6.2
Long,Southampton,23,£6.1
Berahino,West Brom,6,£6.0
Zaza,West Ham,10,£6.0
Vokes,Burnley,64,£5.9
Hernández,Hull,24,£5.9
Sakho,West Ham,10,£5.8
Okazaki,Leicester,32,£5.7
Diouf,Stoke,28,£5.7
Afobe,Bournemouth,33,£5.6
Niasse,Everton,0,£5.6
Wickham,Crystal Palace,18,£5.5
Mbokani,Hull,23,£5.5
Ulloa,Leicester,18,£5.5
Ings,Liverpool,0,£5.4
Rhodes,Middlesbrough,8,£5.4
Valencia,Everton,30,£5.3
Okaka,Watford,17,£5.3
Mousset,Bournemouth,2,£5.2
Akpom,Arsenal,0,£5.1
Koné,Everton,3,£5.1
Borini,Sunderland,17,£5.1
Solanke,Chelsea,0,£5.0
Gestede,Middlesbrough,0,£5.0
Barrow,Swansea,34,£5.0
Robson-Kanu,West Brom,27,£5.0
Fletcher,West Ham,11,£5.0
Bamford,Burnley,6,£4.9
Sinclair,Watford,6,£4.8
Sanogo,Arsenal,0,£4.7
Stuani,Middlesbrough,33,£4.7
Crouch,Stoke,28,£4.7
Anichebe,Sunderland,36,£4.6
Barnes,Burnley,32,£4.5
Calvert-Lewin,Everton,4,£4.5
Bowen,Hull,5,£4.5
Hinchcliffe,Hull,0,£4.5
Keane,Hull,8,£4.5
Diomande,Hull,36,£4.5
Ngoy,Stoke,1,£4.5
Maja,Sunderland,0,£4.5
McBurnie,Swansea,3,£4.5
Folivi,Watford,1,£4.5
Campbell,Crystal Palace,12,£4.4
Luer,Hull,0,£4.4
Emnes,Swansea,0,£4.4
Grabban,Bournemouth,6,£4.3
Jonathan Benteke,Crystal Palace,1,£4.3
